,idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,background,industrial,traffic,no2
0,0,STA-SK0045A,STA-SK0045A/S2A_MSIL2A_20200422T095031_N0214_R079_T33UXP_20200422T142128.npy,STA-SK0045A/l3_mean_europe_2018_2020_005dg.netcdf,SK,152.0,138.5,0,0,1,0,0,1,35.3321171907008
1,1,STA.DE_DENW338,STA.DE_DENW338/S2B_MSIL2A_20200731T103629_N0214_R008_T31UGT_20200731T140558.npy,STA.DE_DENW338/l3_mean_europe_2018_2020_005dg.netcdf,DE,24.0,2328.7,0,0,1,0,1,0,34.69679677716918
2,2,STA.IT1863A,STA.IT1863A/S2A_MSIL2A_20200123T095311_N0213_R079_T33TVG_20200123T113534.npy,STA.IT1863A/l3_mean_europe_2018_2020_005dg.netcdf,IT,954.0,55.3,1,0,0,1,0,0,8.086379693849635
3,3,STA-BETR701,STA-BETR701/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR701/l3_mean_europe_2018_2020_005dg.netcdf,BE,5.0,594.5,0,0,1,1,0,0,25.74856689840225
4,4,STA-FR16029,STA-FR16029/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMU_20200807T132026.npy,STA-FR16029/l3_mean_europe_2018_2020_005dg.netcdf,FR,114.0,237.6,0,0,1,1,0,0,20.13982857556181
5,5,STA.IT2252A,STA.IT2252A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT2252A/l3_mean_europe_2018_2020_005dg.netcdf,IT,74.0,823.7,0,0,1,1,0,0,12.297024952015354
6,6,Station_GB1096A,Station_GB1096A/S2B_MSIL2A_20200812T112119_N0214_R037_T30UWE_20200812T132459.npy,Station_GB1096A/l3_mean_europe_2018_2020_005dg.netcdf,GB,69.0,840.8,0,0,1,1,0,0,27.191494783542048
7,7,STA_ES1148A,STA_ES1148A/S2B_MSIL2A_20200820T103629_N0214_R008_T31TDF_20200820T133254.npy,STA_ES1148A/l3_mean_europe_2018_2020_005dg.netcdf,ES,7.0,718.7,0,0,1,0,1,0,40.11671851595806
8,8,STA.DE_DEBY009,STA.DE_DEBY009/S2A_MSIL2A_20200411T102021_N0214_R065_T32UPA_20200411T143032.npy,STA.DE_DEBY009/l3_mean_europe_2018_2020_005dg.netcdf,DE,231.0,1407.0,0,0,1,1,0,0,23.881602931374506
9,9,STA.IT0963A,STA.IT0963A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT0963A/l3_mean_europe_2018_2020_005dg.netcdf,IT,1.0,442.4,0,0,1,1,0,0,28.4270604927125
10,10,STA-FR04038,STA-FR04038/S2B_MSIL2A_20200326T104639_N0214_R051_T31UDP_20200326T141923.npy,STA-FR04038/l3_mean_europe_2018_2020_005dg.netcdf,FR,152.0,635.1,1,0,0,1,0,0,8.737272095887375
11,11,STA_ES0009R,STA_ES0009R/S2A_MSIL2A_20200824T110631_N0214_R137_T30TVL_20200824T154400.npy,STA_ES0009R/l3_mean_europe_2018_2020_005dg.netcdf,ES,1360.0,21.2,1,0,0,1,0,0,1.7014436388680814
12,12,STA_ES0633A,STA_ES0633A/S2A_MSIL2A_20200801T105631_N0214_R094_T30STF_20200801T115206.npy,STA_ES0633A/l3_mean_europe_2018_2020_005dg.netcdf,ES,1.0,170.9,0,0,1,0,1,0,19.967441282465515
13,13,STA.DE_DEBE051,STA.DE_DEBE051/S2B_MSIL2A_20200801T100559_N0214_R022_T32UQD_20200801T135302.npy,STA.DE_DEBE051/l3_mean_europe_2018_2020_005dg.netcdf,DE,60.0,4289.8,0,1,0,1,0,0,15.268610099990935
14,14,STA_PL0501A,STA_PL0501A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UDA_20200822T115325.npy,STA_PL0501A/l3_mean_europe_2018_2020_005dg.netcdf,PL,223.0,2393.9,0,0,1,1,0,0,31.94309198770997
15,15,STA.05.4057,STA.05.4057/S2A_MSIL2A_20201114T101301_N0214_R022_T33TUN_20201114T120346.npy,STA.05.4057/l3_mean_europe_2018_2020_005dg.netcdf,AT,620.0,38.5,0,1,0,1,0,0,20.724583530780706
16,16,STA-LT00001,STA-LT00001/S2A_MSIL2A_20200807T094041_N0214_R036_T35ULA_20200807T110442.npy,STA-LT00001/l3_mean_europe_2018_2020_005dg.netcdf,LT,116.0,85.8,0,0,1,1,0,0,19.53886343595147
17,17,STA-RO0183A,STA-RO0183A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TFT_20200710T120649.npy,STA-RO0183A/l3_mean_europe_2018_2020_005dg.netcdf,RO,160.0,75.8,0,0,1,0,0,1,14.204773903123302
18,18,STA-SE164766,STA-SE164766/S2B_MSIL2A_20200621T103629_N0214_R008_T34WDV_20200621T140338.npy,STA-SE164766/l3_mean_europe_2018_2020_005dg.netcdf,SE,355.0,2.6,0,0,1,0,0,1,11.276606481117682
19,19,STA.IT1016A,STA.IT1016A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT1016A/l3_mean_europe_2018_2020_005dg.netcdf,IT,122.0,2078.5,0,0,1,0,0,1,49.45800159405119
20,20,STA_ES1312A,STA_ES1312A/S2A_MSIL2A_20200118T104351_N0213_R008_T31TCF_20200118T120816.npy,STA_ES1312A/l3_mean_europe_2018_2020_005dg.netcdf,ES,5.0,127.8,0,1,0,0,1,0,19.72466986093257
21,21,STA-NL00019,STA-NL00019/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFU_20200326T141923.npy,STA-NL00019/l3_mean_europe_2018_2020_005dg.netcdf,NL,2.0,1968.5,0,0,1,1,0,0,28.14712337905961
22,22,STA_PL0150A,STA_PL0150A/S2B_MSIL2A_20200921T094039_N0214_R036_T34UFE_20200921T120812.npy,STA_PL0150A/l3_mean_europe_2018_2020_005dg.netcdf,PL,180.0,98.7,1,0,0,1,0,0,3.4822152310062897
23,23,STA.DE_DENI031,STA.DE_DENI031/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DENI031/l3_mean_europe_2018_2020_005dg.netcdf,DE,2.0,733.6,1,0,0,1,0,0,12.117099832815974
24,24,STA.DE_DEHB005,STA.DE_DEHB005/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DEHB005/l3_mean_europe_2018_2020_005dg.netcdf,DE,3.0,1399.1,0,0,1,1,0,0,19.481097726889764
25,25,STA-BETR805,STA-BETR805/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR805/l3_mean_europe_2018_2020_005dg.netcdf,BE,6.0,1093.8,0,0,1,0,0,1,40.05458284371328
26,26,STA-LT00042,STA-LT00042/S2A_MSIL2A_20200817T094041_N0214_R036_T35ULB_20200817T110529.npy,STA-LT00042/l3_mean_europe_2018_2020_005dg.netcdf,LT,40.0,71.8,0,0,1,0,1,0,11.232008971972014
27,27,STA-FR29441,STA-FR29441/S2A_MSIL2A_20200805T104031_N0214_R008_T31TFL_20200805T112609.npy,STA-FR29441/l3_mean_europe_2018_2020_005dg.netcdf,FR,498.0,160.6,0,0,1,0,0,1,31.67459120594225
28,28,STA-FR31010,STA-FR31010/S2B_MSIL2A_20200806T105619_N0214_R094_T30TXQ_20200806T131026.npy,STA-FR31010/l3_mean_europe_2018_2020_005dg.netcdf,FR,3.0,162.6,0,1,0,0,1,0,6.8055201173292375
29,29,STA-FR04319,STA-FR04319/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04319/l3_mean_europe_2018_2020_005dg.netcdf,FR,65.0,6979.0,0,1,0,1,0,0,27.135952185501925
30,30,STA.IT2019A,STA.IT2019A/S2A_MSIL2A_20200830T095031_N0214_R079_T33TWF_20200830T115423.npy,STA.IT2019A/l3_mean_europe_2018_2020_005dg.netcdf,IT,76.0,90.9,0,0,1,1,0,0,22.27556176414137
31,31,STA-SI0054A,STA-SI0054A/S2A_MSIL2A_20200912T100031_N0214_R122_T33TWM_20200912T114911.npy,STA-SI0054A/l3_mean_europe_2018_2020_005dg.netcdf,SI,250.0,118.3,0,1,0,1,0,0,16.19827961853647
32,32,Station_GB1089A,Station_GB1089A/S2B_MSIL2A_20200921T112119_N0214_R037_T30UXE_20200921T132441.npy,Station_GB1089A/l3_mean_europe_2018_2020_005dg.netcdf,GB,3.0,319.5,0,0,1,1,0,0,13.737106268833244
33,33,STA.DE_DEHE024,STA.DE_DEHE024/S2B_MSIL2A_20200409T102559_N0214_R108_T32UNB_20200409T140105.npy,STA.DE_DEHE024/l3_mean_europe_2018_2020_005dg.netcdf,DE,610.0,98.9,1,0,0,1,0,0,6.254976528053128
34,34,STA_ES1945A,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_europe_2018_2020_005dg.netcdf,ES,700.0,827.3,0,1,0,1,0,0,14.95137299771167
35,35,STA-RO0192A,STA-RO0192A/S2A_MSIL2A_20200828T090601_N0214_R050_T35TLJ_20200828T114933.npy,STA-RO0192A/l3_mean_europe_2018_2020_005dg.netcdf,RO,31.0,59.5,0,0,1,0,1,0,12.511370996560451
36,36,STA_ES1353A,STA_ES1353A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES1353A/l3_mean_europe_2018_2020_005dg.netcdf,ES,216.0,97.0,0,0,1,1,0,0,17.7068906016335
37,37,STA.IT1593A,STA.IT1593A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TPN_20200821T130423.npy,STA.IT1593A/l3_mean_europe_2018_2020_005dg.netcdf,IT,10.0,50.0,0,0,1,1,0,0,16.387725804522074
38,38,STA.02.SP18,STA.02.SP18/S2A_MSIL2A_20200707T101031_N0214_R022_T33TUM_20200707T135316.npy,STA.02.SP18/l3_mean_europe_2018_2020_005dg.netcdf,AT,560.0,30.6,0,0,1,1,0,0,19.1202137203005
39,39,STA.07.2822,STA.07.2822/S2A_MSIL2A_20200319T101021_N0214_R022_T32TPT_20200319T130518.npy,STA.07.2822/l3_mean_europe_2018_2020_005dg.netcdf,AT,543.0,65.4,1,0,0,0,0,1,32.117961063832524
40,40,STA.DE_DENW182,STA.DE_DENW182/S2A_MSIL2A_20200805T104031_N0214_R008_T32ULB_20200805T121101.npy,STA.DE_DENW182/l3_mean_europe_2018_2020_005dg.netcdf,DE,78.0,669.5,1,0,0,0,1,0,22.20177763322545
41,41,STA.DE_DENI042,STA.DE_DENI042/S2A_MSIL2A_20200723T103031_N0214_R108_T32UNC_20200723T142801.npy,STA.DE_DENI042/l3_mean_europe_2018_2020_005dg.netcdf,DE,170.0,187.5,0,1,0,1,0,0,14.77544368709359
42,42,STA.IT2117A,STA.IT2117A/S2B_MSIL2A_20201122T102339_N0214_R065_T32TLR_20201122T122607.npy,STA.IT2117A/l3_mean_europe_2018_2020_005dg.netcdf,IT,246.0,333.8,0,1,0,1,0,0,25.467851002865327
43,43,STA-RO0150A,STA-RO0150A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0150A/l3_mean_europe_2018_2020_005dg.netcdf,RO,203.0,57.3,0,0,1,0,1,0,15.13135781237497
44,44,STA.IT1026A,STA.IT1026A/S2A_MSIL2A_20200620T102031_N0214_R065_T32TMQ_20200620T131229.npy,STA.IT1026A/l3_mean_europe_2018_2020_005dg.netcdf,IT,380.0,460.4,0,0,1,0,0,1,37.8542235545596
